Corrupt NEF frames: rectangular blocks of pixels with constant value 4128 present in the
raw data itself (confirmed independently with Siril/libraw and dcraw), probably a camera or
card write error. Two patterns: a 16-column strip at the top (rows 0-118, cols 2416-2431,
1904 px) or rows scattered across the whole frame (~14000 px). Only ISO 100 and ISO 800 series
are affected. frames2stats.py masks these pixels with sigma clipping, so the frames are still
usable. ISO HI0.3 frames were not scanned (not converted to FITS).

111 of 1862 frames affected (ISO 100: 60/98, ISO 800: 49/98)

raw                                  fits                   bad_px  rows / cols
dark_iso800_0-0025s_1.nef            iso800_00021.fit         1904  0-118 / 2416-2431
dark_iso800_0-0025s_2.nef            iso800_00022.fit         1904  0-118 / 2416-2431
dark_iso800_0-002s_1.nef             iso800_00019.fit         1904  0-118 / 2416-2431
dark_iso800_0-002s_2.nef             iso800_00020.fit         1904  0-118 / 2416-2431
dark_iso800_0-003125s_2.nef          iso800_00024.fit         1904  0-118 / 2416-2431
dark_iso800_0-004s_1.nef             iso800_00025.fit         1904  0-118 / 2416-2431
dark_iso800_0-004s_2.nef             iso800_00026.fit         1904  0-118 / 2416-2431
dark_iso800_0-005s_1.nef             iso800_00027.fit        13848  0-3357 / 0-5011
dark_iso800_0-005s_2.nef             iso800_00028.fit         1904  0-118 / 2416-2431
dark_iso800_0-00625s_1.nef           iso800_00029.fit         1904  0-118 / 2416-2431
dark_iso800_0-00625s_2.nef           iso800_00030.fit         1904  0-118 / 2416-2431
dark_iso800_0-008s_1.nef             iso800_00031.fit        11944  3236-3357 / 0-5011
dark_iso800_0-008s_2.nef             iso800_00032.fit         1904  0-118 / 2416-2431
dark_iso800_0-0125s_1.nef            iso800_00035.fit        13848  0-3357 / 0-5011
dark_iso800_0-0125s_2.nef            iso800_00036.fit        13848  0-3357 / 0-5011
dark_iso800_0-0166667s_1.nef         iso800_00037.fit        13848  0-3357 / 0-5011
dark_iso800_0-0166667s_2.nef         iso800_00038.fit         1904  0-118 / 2416-2431
dark_iso800_0-01s_1.nef              iso800_00033.fit         1904  0-118 / 2416-2431
dark_iso800_0-01s_2.nef              iso800_00034.fit         1904  0-118 / 2416-2431
dark_iso800_0-025s_1.nef             iso800_00041.fit        13848  0-3357 / 0-5011
dark_iso800_0-025s_2.nef             iso800_00042.fit        13848  0-3357 / 0-5011
dark_iso800_0-02s_1.nef              iso800_00039.fit        11944  3236-3357 / 0-5011
dark_iso800_0-02s_2.nef              iso800_00040.fit         1904  0-118 / 2416-2431
dark_iso800_0-0333333s_1.nef         iso800_00043.fit        13848  0-3357 / 0-5011
dark_iso800_0-0333333s_2.nef         iso800_00044.fit        13848  0-3357 / 0-5011
dark_iso800_0-04s_1.nef              iso800_00045.fit        13848  0-3357 / 0-5011
dark_iso800_0-04s_2.nef              iso800_00046.fit         1904  0-118 / 2416-2431
dark_iso800_0-05s_2.nef              iso800_00048.fit         1904  0-118 / 2416-2431
dark_iso800_0-0666667s_1.nef         iso800_00049.fit         1904  0-118 / 2416-2431
dark_iso800_0-0666667s_2.nef         iso800_00050.fit         1904  0-118 / 2416-2431
dark_iso800_0-0769231s_1.nef         iso800_00051.fit         1904  0-118 / 2416-2431
dark_iso800_0-0769231s_2.nef         iso800_00052.fit         1904  0-118 / 2416-2431
dark_iso800_0-125s_2.nef             iso800_00056.fit         1904  0-118 / 2416-2431
